Tenant,ID
vkplatingtechcomvn.onmicrosoft.com,cb5a4752-c76f-4641-9320-a243ca2db993
hhpharm.onmicrosoft.com,6f0891ba-173a-4b69-a063-6513e60ef2d7
vietchoicecomvn.onmicrosoft.com,3a820046-8001-4737-a364-427d74119873
vjconnectionvn.onmicrosoft.com,f67ef2c6-f5ed-4520-bd25-2ac3ecece4c7
quangcaominhhai.onmicrosoft.com,e51a33a3-a69d-4b56-a2be-354bd6e904d8
ddraco.onmicrosoft.com,f9ffbbf5-090f-4e0a-8a85-1f58662d8b9b
mjlogcomvn.onmicrosoft.com,030b01d7-580f-45db-8f52-e339b3255676
taeceduvn.onmicrosoft.com,94ac0a2e-86cf-414b-9dea-59c00491db7e
frescoltunacom.onmicrosoft.com,48cbb26d-0372-4ee1-a8ce-8fda6514b3c5
ngoainguvietgia.onmicrosoft.com,8216ce0c-3ace-4702-9b49-cce3694cd670
eqlogiscomvn.onmicrosoft.com,ab8d94dd-5031-4988-8cb8-ba1928155c5a
yoshinovietnam.onmicrosoft.com,1e2d9876-4114-4151-a678-54a23ceb9276
360connect.onmicrosoft.com,19dd57a3-3726-45f6-9c35-554e69bd4473
hlcargovietnam.onmicrosoft.com,dbc77e6c-4a03-48f2-8a81-44ca0b4e3b38
vistivn.onmicrosoft.com,0b12347d-d666-4f98-a1ad-ee9b3097ef6f
pnindustriesvn.onmicrosoft.com,260fd3a0-a301-44ec-b8a8-3073a7f322ce
hmmanpower.onmicrosoft.com,257ec89d-229c-4ba3-b5b8-b731b8497e71
briseasia.onmicrosoft.com,f65e036c-ad90-4125-a535-51fe05d43737
thpthoangquocvietqn.onmicrosoft.com,0d1570db-4fe4-498a-93f8-bb63873502ed
innovisionvn.onmicrosoft.com,b9ae2cab-e1f2-45cc-b90e-8d3d0ba732dd
haominhcom.onmicrosoft.com,a7882889-8c8c-4ac2-9e8b-f0daf28e4a6d
dynamiccovn.onmicrosoft.com,ca3fb54f-bf1c-431f-b7b6-b677ff39e3e8
alphanalyst.onmicrosoft.com,b1de855c-6ce2-40cc-8caf-cdc5d8a818e3
hangbang.onmicrosoft.com,72f3730a-5bbb-4d63-b8cf-84f46e5f77ef
aachanoi.onmicrosoft.com,e8b578da-5aa3-4c38-9482-aaca505a220d
neatcleanvn.onmicrosoft.com,33242b29-c66b-44be-aa8a-c99b04a898ca
npsvn.onmicrosoft.com,a56cb402-d53e-4f2c-9857-0ee9fe896154
finsocomvn.onmicrosoft.com,4046a474-c1bf-4d14-bb47-41e384e7731c
royalstitches.onmicrosoft.com,861fb9cf-4178-436a-baed-016d14caa869
apicomvnasia.onmicrosoft.com,5b458e41-04c5-4c80-adfa-6bf238e71c0d
